,Serial Number:20440475 --,,,,,,
20440475,09/03/19 15:56,-0.99,99.98,-1, , , 
20440475,09/03/19 16:56,-0.99,99.98,-1, , , 
20440475,09/03/19 17:56,-0.95,99.98,-0.96, , , 
20440475,09/03/19 18:56,-0.95,99.98,-0.96, , , 
20440475,09/03/19 19:56,-0.95,99.98,-0.96, , , 
20440475,09/03/19 20:56,-0.99,99.98,-1, , , 
20440475,09/03/19 21:56,-0.99,99.98,-1, , , 
20440475,09/03/19 22:56,-0.9,99.98,-0.91, , , 
20440475,09/03/19 23:56,-0.95,99.98,-0.96, , , 
20440475,10/03/19 00:56,-0.95,99.98,-0.96, , , 
20440475,10/03/19 01:56,-0.95,99.98,-0.96, , , 
20440475,10/03/19 02:56,-0.9,99.98,-0.91, , , 
20440475,10/03/19 03:56,-0.9,99.98,-0.91, , , 
20440475,10/03/19 04:56,-0.86,99.98,-0.87, , , 
20440475,10/03/19 05:56,-0.86,99.98,-0.87, , , 
20440475,10/03/19 06:56,-0.9,99.98,-0.91, , , 
20440475,10/03/19 07:56,-0.95,99.98,-0.96, , , 
20440475,10/03/19 08:56,-0.95,99.98,-0.96, , , 
20440475,10/03/19 09:56,-0.95,99.98,-0.96, , , 
20440475,10/03/19 10:56,-0.99,99.98,-1, , , 
20440475,10/03/19 11:56,-0.95,99.98,-0.96, , , 
20440475,10/03/19 12:56,-0.99,99.98,-1, , , 
20440475,10/03/19 13:56,-0.99,99.98,-1, , , 
20440475,10/03/19 14:56,-0.95,99.98,-0.96, , , 
20440475,10/03/19 15:56,-0.95,99.98,-0.96, , , 
20440475,10/03/19 16:56,-0.95,99.98,-0.96, , , 
20440475,10/03/19 17:56,-0.95,99.98,-0.96, , , 
20440475,10/03/19 18:56,-0.95,99.98,-0.96, , , 
20440475,10/03/19 19:56,-0.95,99.98,-0.96, , , 
20440475,10/03/19 20:56,-0.9,99.98,-0.91, , , 
20440475,10/03/19 21:56,-0.9,99.98,-0.91, , , 
20440475,10/03/19 22:56,-0.9,99.98,-0.91, , , 
20440475,10/03/19 23:56,-0.9,99.98,-0.91, , , 
20440475,11/03/19 00:56,-0.86,99.98,-0.87, , , 
20440475,11/03/19 01:56,-0.86,99.98,-0.87, , , 
20440475,11/03/19 02:56,-0.95,99.98,-0.96, , , 
20440475,11/03/19 03:56,-0.9,99.98,-0.91, , , 
20440475,11/03/19 04:56,-0.9,99.98,-0.91, , , 
20440475,11/03/19 05:56,-0.99,99.98,-1, , , 
20440475,11/03/19 06:56,-0.99,99.98,-1, , , 
20440475,11/03/19 07:56,-1.03,99.98,-1.04, , , 
20440475,11/03/19 08:56,-0.99,99.98,-1, , , 
20440475,11/03/19 09:56,-0.99,99.98,-1, , , 
20440475,11/03/19 10:56,-1.03,99.98,-1.04, , , 
20440475,11/03/19 11:56,-0.95,99.98,-0.96, , , 
20440475,11/03/19 12:56,-0.99,99.98,-1, , , 
20440475,11/03/19 13:56,-1.08,99.98,-1.08, , , 
20440475,11/03/19 14:56,-1.08,99.98,-1.08, , , 
20440475,11/03/19 15:56,-1.16,99.98,-1.17, , , 
20440475,11/03/19 16:56,-1.29,99.98,-1.3, , , 
20440475,11/03/19 17:56,-1.5,99.98,-1.51, , , 
20440475,11/03/19 18:56,-1.59,99.98,-1.6, , , 
20440475,11/03/19 19:56,-1.59,99.98,-1.6, , , 
20440475,11/03/19 20:56,-1.55,99.98,-1.56, , , 
20440475,11/03/19 21:56,-1.72,99.9,-1.74, , , 
20440475,11/03/19 22:56,-1.63,99.98,-1.64, , , 
20440475,11/03/19 23:56,-1.76,99.98,-1.77, , , 
20440475,12/03/19 00:56,-1.76,99.98,-1.77, , , 
20440475,12/03/19 01:56,-1.85,99.98,-1.86, , , 
20440475,12/03/19 02:56,-1.76,99.11,-1.89, , , 
20440475,12/03/19 03:56,-1.85,98.39,-2.07, , , 
20440475,12/03/19 04:56,-1.93,99.06,-2.07, , , 
20440475,12/03/19 05:56,-1.85,99.98,-1.86, , , 
20440475,12/03/19 06:56,-1.72,99.98,-1.73, , , 
20440475,12/03/19 07:56,-1.89,99.08,-2.02, , , 
20440475,12/03/19 08:56,-1.89,99.45,-1.97, , , 
20440475,12/03/19 09:56,-1.98,99.98,-1.99, , , 
20440475,12/03/19 10:56,-1.76,99.98,-1.77, , , 
20440475,12/03/19 11:56,-1.85,99.08,-1.98, , , 
20440475,12/03/19 12:56,-1.85,97.25,-2.23, , , 
20440475,12/03/19 13:56,-1.85,97.99,-2.13, , , 
20440475,12/03/19 14:56,-1.8,96.5,-2.29, , , 
20440475,12/03/19 15:56,-1.8,97.22,-2.19, , , 
20440475,12/03/19 16:56,-1.72,97.99,-2, , , 
20440475,12/03/19 17:56,-1.72,99.16,-1.84, , , 
20440475,12/03/19 18:56,-1.68,99.19,-1.79, , , 
20440475,12/03/19 19:56,-1.72,99.87,-1.74, , , 
20440475,12/03/19 20:56,-1.8,98.34,-2.04, , , 
20440475,12/03/19 21:56,-1.76,98.02,-2.04, , , 
20440475,12/03/19 22:56,-1.85,98.71,-2.03, , , 
20440475,12/03/19 23:56,-1.89,97.99,-2.17, , , 
20440475,13/03/19 00:56,-1.85,98.76,-2.02, , , 
20440475,13/03/19 01:56,-1.93,97.94,-2.22, , , 
20440475,13/03/19 02:56,-1.93,97.22,-2.32, , , 
20440475,13/03/19 03:56,-1.98,97.91,-2.27, , , 
20440475,13/03/19 04:56,-2.06,95.61,-2.68, , , 
20440475,13/03/19 05:56,-2.06,96.77,-2.51, , , 
20440475,13/03/19 06:56,-2.06,95.23,-2.73, , , 
20440475,13/03/19 07:56,-2.06,96.44,-2.56, , , 
20440475,13/03/19 08:56,-2.1,97.17,-2.5, , , 
20440475,13/03/19 09:56,-2.1,97.14,-2.5, , , 
20440475,13/03/19 10:56,-2.15,96.79,-2.6, , , 
20440475,13/03/19 11:56,-1.98,97.54,-2.32, , , 
20440475,13/03/19 12:56,-1.93,97.97,-2.22, , , 
20440475,13/03/19 13:56,-1.93,98.68,-2.12, , , 
20440475,13/03/19 14:56,-1.89,99.11,-2.02, , , 
20440475,13/03/19 15:56,-1.89,99.82,-1.92, , , 
20440475,13/03/19 16:56,-1.85,99.82,-1.88, , , 
20440475,13/03/19 17:56,-1.93,99.98,-1.94, , , 
20440475,13/03/19 18:56,-1.89,99.98,-1.9, , , 
20440475,13/03/19 19:56,-1.89,99.87,-1.92, , , 
20440475,13/03/19 20:56,-1.98,99.98,-1.99, , , 
20440475,13/03/19 21:56,-1.93,99.98,-1.94, , , 
20440475,13/03/19 22:56,-1.98,99.98,-1.99, , , 
20440475,13/03/19 23:56,-1.98,97.97,-2.26, , , 
20440475,14/03/19 00:56,-2.02,98.29,-2.26, , , 
20440475,14/03/19 01:56,-2.15,98.26,-2.39, , , 
20440475,14/03/19 02:56,-2.23,98.23,-2.48, , , 
20440475,14/03/19 03:56,-2.28,97.51,-2.62, , , 
20440475,14/03/19 04:56,-2.23,97.83,-2.54, , , 
20440475,14/03/19 05:56,-2.28,97.09,-2.68, , , 
20440475,14/03/19 06:56,-2.36,97.06,-2.77, , , 
20440475,14/03/19 07:56,-2.23,97.51,-2.58, , , 
20440475,14/03/19 08:56,-2.23,97.14,-2.63, , , 
20440475,14/03/19 09:56,-2.19,97.11,-2.59, , , 
20440475,14/03/19 10:56,-2.19,97.11,-2.59, , , 
20440475,14/03/19 11:56,-2.1,97.89,-2.4, , , 
20440475,14/03/19 12:56,-2.02,98.71,-2.2, , , 
20440475,14/03/19 13:56,-1.93,99.98,-1.94, , , 
20440475,14/03/19 14:56,-1.89,99.98,-1.9, , , 
20440475,14/03/19 15:56,-1.89,99.98,-1.9, , , 
20440475,14/03/19 16:56,-1.85,99.98,-1.86, , , 
20440475,14/03/19 17:56,-1.85,99.98,-1.86, , , 
20440475,14/03/19 18:56,-1.89,99.87,-1.92, , , 
20440475,14/03/19 19:56,-1.89,99.98,-1.9, , , 
20440475,14/03/19 20:56,-1.89,99.98,-1.9, , , 
20440475,14/03/19 21:56,-1.98,99.98,-1.99, , , 
20440475,14/03/19 22:56,-2.02,99.08,-2.15, , , 
20440475,14/03/19 23:56,-2.02,99.82,-2.05, , , 
20440475,15/03/19 00:56,-1.98,99.98,-1.99, , , 
20440475,15/03/19 01:56,-1.98,99.8,-2.01, , , 
20440475,15/03/19 02:56,-1.89,99.08,-2.02, , , 
20440475,15/03/19 03:56,-1.85,98.34,-2.08, , , 
20440475,15/03/19 04:56,-1.85,97.99,-2.13, , , 
20440475,15/03/19 05:56,-1.8,97.22,-2.19, , , 
20440475,15/03/19 06:56,-1.8,98.34,-2.04, , , 
20440475,15/03/19 07:56,-1.8,98.34,-2.04, , , 
20440475,15/03/19 08:56,-1.76,96.12,-2.3, , , 
20440475,15/03/19 09:56,-1.72,94.15,-2.54, , , 
20440475,15/03/19 10:56,-1.76,94.61,-2.52, , , 
20440475,15/03/19 11:56,-1.76,98.74,-1.94, , , 
20440475,15/03/19 12:56,-1.72,99.98,-1.73, , , 
20440475,15/03/19 13:56,-1.63,99.98,-1.64, , , 
20440475,15/03/19 14:56,-1.63,99.98,-1.64, , , 
20440475,15/03/19 15:56,-1.63,99.98,-1.64, , , 
20440475,15/03/19 16:56,-1.55,99.98,-1.56, , , 
20440475,15/03/19 17:56,-1.5,99.98,-1.51, , , 
20440475,15/03/19 18:56,-1.5,99.98,-1.51, , , 
20440475,15/03/19 19:56,-1.55,98.42,-1.77, , , 
20440475,15/03/19 20:56,-1.55,98.79,-1.72, , , 
20440475,15/03/19 21:56,-1.5,99.61,-1.56, , , 
20440475,15/03/19 22:56,-1.5,99.61,-1.56, , , 
20440475,15/03/19 23:56,-1.59,99.98,-1.6, , , 
20440475,16/03/19 00:56,-1.5,99.98,-1.51, , , 
20440475,16/03/19 01:56,-1.46,99.98,-1.47, , , 
20440475,16/03/19 02:56,-1.42,99.98,-1.43, , , 
20440475,16/03/19 03:56,-1.38,99.98,-1.39, , , 
20440475,16/03/19 04:56,-1.38,99.98,-1.39, , , 
20440475,16/03/19 05:56,-1.33,99.98,-1.34, , , 
20440475,16/03/19 06:56,-1.29,99.98,-1.3, , , 
20440475,16/03/19 07:56,-1.33,99.98,-1.34, , , 
20440475,16/03/19 08:56,-1.29,99.98,-1.3, , , 
20440475,16/03/19 09:56,-1.29,99.98,-1.3, , , 
20440475,16/03/19 10:56,-1.25,99.98,-1.26, , , 
20440475,16/03/19 11:56,-1.25,99.98,-1.26, , , 
20440475,16/03/19 12:56,-1.25,99.98,-1.26, , , 
20440475,16/03/19 13:56,-1.25,99.98,-1.26, , , 
20440475,16/03/19 14:56,-1.2,99.98,-1.21, , , 
20440475,16/03/19 15:56,-1.2,99.98,-1.21, , , 
20440475,16/03/19 16:56,-1.2,99.98,-1.21, , , 
20440475,16/03/19 17:56,-1.12,99.98,-1.13, , , 
20440475,16/03/19 18:56,-1.16,99.98,-1.17, , , 
20440475,16/03/19 19:56,-1.08,99.98,-1.08, , , 
20440475,16/03/19 20:56,-1.12,99.98,-1.13, , , 
20440475,16/03/19 21:56,-1.12,99.98,-1.13, , , 
20440475,16/03/19 22:56,-1.08,99.98,-1.08, , , 
20440475,16/03/19 23:56,-1.08,99.98,-1.08, , , 
20440475,17/03/19 00:56,-1.03,99.98,-1.04, , , 
20440475,17/03/19 01:56,-1.12,99.98,-1.13, , , 
20440475,17/03/19 02:56,-1.08,99.98,-1.08, , , 
20440475,17/03/19 03:56,-1.08,99.98,-1.08, , , 
20440475,17/03/19 04:56,-1.08,99.98,-1.08, , , 
20440475,17/03/19 05:56,-1.03,99.98,-1.04, , , 
20440475,17/03/19 06:56,-0.99,99.98,-1, , , 
20440475,17/03/19 07:56,-1.03,99.98,-1.04, , , 
20440475,17/03/19 08:56,-0.99,99.98,-1, , , 
20440475,17/03/19 09:56,-0.99,99.98,-1, , , 
20440475,17/03/19 10:56,-0.99,99.98,-1, , , 
20440475,17/03/19 11:56,-1.03,99.98,-1.04, , , 
20440475,17/03/19 12:56,-1.03,99.98,-1.04, , , 
20440475,17/03/19 13:56,-1.08,99.98,-1.08, , , 
20440475,17/03/19 14:56,-1.08,99.98,-1.08, , , 
20440475,17/03/19 15:56,-1.08,99.98,-1.08, , , 
20440475,17/03/19 16:56,-1.08,99.98,-1.08, , , 
20440475,17/03/19 17:56,-0.99,99.98,-1, , , 
20440475,17/03/19 18:56,-1.03,99.98,-1.04, , , 
20440475,17/03/19 19:56,-1.03,99.98,-1.04, , , 
20440475,17/03/19 20:56,-1.03,99.98,-1.04, , , 
20440475,17/03/19 21:56,-1.03,99.98,-1.04, , , 
20440475,17/03/19 22:56,-1.03,99.98,-1.04, , , 
20440475,17/03/19 23:56,-1.03,99.98,-1.04, , , 
20440475,18/03/19 00:56,-0.95,99.98,-0.96, , , 
20440475,18/03/19 01:56,-0.9,99.98,-0.91, , , 
20440475,18/03/19 02:56,-0.95,99.98,-0.96, , , 
20440475,18/03/19 03:56,-0.9,99.98,-0.91, , , 
20440475,18/03/19 04:56,-0.9,99.98,-0.91, , , 
20440475,18/03/19 05:56,-0.86,99.98,-0.87, , , 
20440475,18/03/19 06:56,-0.82,99.98,-0.83, , , 
20440475,18/03/19 07:56,-0.86,99.98,-0.87, , , 
20440475,18/03/19 08:56,-0.86,99.98,-0.87, , , 
20440475,18/03/19 09:56,-0.99,99.98,-1, , , 
20440475,18/03/19 10:56,-1.08,99.98,-1.08, , , 
20440475,18/03/19 11:56,-1.12,99.98,-1.13, , , 
20440475,18/03/19 12:56,-1.2,99.98,-1.21, , , 
20440475,18/03/19 13:56,-1.29,99.98,-1.3, , , 
20440475,18/03/19 14:56,-1.42,99.98,-1.43, , , 
20440475,18/03/19 15:56,-1.46,99.98,-1.47, , , 
20440475,18/03/19 16:56,-1.46,99.98,-1.47, , , 
20440475,18/03/19 17:56,-1.5,99.98,-1.51, , , 
20440475,18/03/19 18:56,-1.55,99.98,-1.56, , , 
20440475,18/03/19 19:56,-1.59,99.98,-1.6, , , 
20440475,18/03/19 20:56,-1.55,99.98,-1.56, , , 
20440475,18/03/19 21:56,-1.59,99.98,-1.6, , , 
20440475,18/03/19 22:56,-1.59,99.98,-1.6, , , 
20440475,18/03/19 23:56,-1.68,99.98,-1.69, , , 
20440475,19/03/19 00:56,-1.68,99.98,-1.69, , , 
20440475,19/03/19 01:56,-1.8,99.98,-1.82, , , 
20440475,19/03/19 02:56,-1.85,99.98,-1.86, , , 
20440475,19/03/19 03:56,-1.85,99.98,-1.86, , , 
20440475,19/03/19 04:56,-1.93,99.98,-1.94, , , 
20440475,19/03/19 05:56,-2.02,99.98,-2.03, , , 
20440475,19/03/19 06:56,-2.1,99.98,-2.12, , , 
20440475,19/03/19 07:56,-2.1,99.98,-2.12, , , 
20440475,19/03/19 08:56,-2.15,99.98,-2.16, , , 
20440475,19/03/19 09:56,-2.1,99.8,-2.14, , , 
20440475,19/03/19 10:56,-2.1,99.74,-2.15, , , 
20440475,19/03/19 11:56,-2.06,99.98,-2.07, , , 
20440475,19/03/19 12:56,-2.02,99.98,-2.03, , , 
20440475,19/03/19 13:56,-2.02,99.98,-2.03, , , 
20440475,19/03/19 14:56,-1.93,99.98,-1.94, , , 
20440475,19/03/19 15:56,-1.93,99.98,-1.94, , , 
20440475,19/03/19 16:56,-1.93,99.98,-1.94, , , 
20440475,19/03/19 17:56,-1.98,99.98,-1.99, , , 
20440475,19/03/19 18:56,-1.93,99.98,-1.94, , , 
20440475,19/03/19 19:56,-1.98,99.98,-1.99, , , 
20440475,19/03/19 20:56,-2.06,99.98,-2.07, , , 
20440475,19/03/19 21:56,-2.06,99.82,-2.09, , , 
20440475,19/03/19 22:56,-2.1,99.74,-2.15, , , 
20440475,19/03/19 23:56,-2.1,99.74,-2.15, , , 
20440475,20/03/19 00:56,-2.23,98.23,-2.48, , , 
20440475,20/03/19 01:56,-2.28,99,-2.42, , , 
20440475,20/03/19 02:56,-2.23,99.03,-2.37, , , 
20440475,20/03/19 03:56,-2.28,98.21,-2.53, , , 
20440475,20/03/19 04:56,-2.36,98.55,-2.57, , , 
20440475,20/03/19 05:56,-2.36,97.81,-2.67, , , 
20440475,20/03/19 06:56,-2.45,97.78,-2.76, , , 
20440475,20/03/19 07:56,-2.58,97.75,-2.89, , , 
20440475,20/03/19 08:56,-2.53,98.18,-2.79, , , 
20440475,20/03/19 09:56,-2.53,98.18,-2.79, , , 
20440475,20/03/19 10:56,-2.58,97.38,-2.94, , , 
20440475,20/03/19 11:56,-2.53,97.38,-2.9, , , 
20440475,20/03/19 12:56,-2.53,97.81,-2.84, , , 
20440475,20/03/19 13:56,-2.45,95.56,-3.07, , , 
20440475,20/03/19 14:56,-2.41,96.34,-2.92, , , 
20440475,20/03/19 15:56,-2.45,95.18,-3.12, , , 
20440475,20/03/19 16:56,-2.45,95.5,-3.08, , , 
20440475,20/03/19 17:56,-2.45,95.93,-3.02, , , 
20440475,20/03/19 18:56,-2.32,97.83,-2.62, , , 
20440475,20/03/19 19:56,-2.32,98.21,-2.57, , , 
20440475,20/03/19 20:56,-2.41,98.23,-2.65, , , 
20440475,20/03/19 21:56,-2.41,98.23,-2.65, , , 
20440475,20/03/19 22:56,-2.41,98.23,-2.65, , , 
20440475,20/03/19 23:56,-2.45,97.78,-2.76, , , 
20440475,21/03/19 00:56,-2.45,97.78,-2.76, , , 
20440475,21/03/19 01:56,-2.41,97.09,-2.81, , , 
20440475,21/03/19 02:56,-2.45,96.28,-2.97, , , 
20440475,21/03/19 03:56,-2.49,96.69,-2.95, , , 
20440475,21/03/19 04:56,-2.53,96.26,-3.06, , , 
20440475,21/03/19 05:56,-2.62,95.91,-3.19, , , 
20440475,21/03/19 06:56,-2.58,95.85,-3.15, , , 
20440475,21/03/19 07:56,-2.53,95.1,-3.22, , , 
20440475,21/03/19 08:56,-2.45,95.91,-3.02, , , 
20440475,21/03/19 09:56,-2.45,95.93,-3.02, , , 
20440475,21/03/19 10:56,-2.36,95.15,-3.04, , , 
20440475,21/03/19 11:56,-2.28,94.42,-3.06, , , 
20440475,21/03/19 12:56,-2.15,94.07,-2.98, , , 
20440475,21/03/19 13:56,-2.06,92.91,-3.06, , , 
20440475,21/03/19 14:56,-2.06,94.83,-2.79, , , 
20440475,21/03/19 15:56,-2.02,95.64,-2.63, , , 
20440475,21/03/19 16:56,-1.93,96.47,-2.43, , , 
20440475,21/03/19 17:56,-1.89,95.67,-2.5, , , 
20440475,21/03/19 18:56,-1.85,96.44,-2.35, , , 
20440475,21/03/19 19:56,-1.85,94.56,-2.61, , , 
20440475,21/03/19 20:56,-1.85,95.34,-2.5, , , 
20440475,21/03/19 21:56,-1.89,95.72,-2.49, , , 
20440475,21/03/19 22:56,-1.85,90.69,-3.17, , , 
20440475,21/03/19 23:56,-1.89,92.99,-2.88, , , 
20440475,22/03/19 00:56,-1.85,92.58,-2.9, , , 
20440475,22/03/19 01:56,-1.85,94.91,-2.56, , , 
20440475,22/03/19 02:56,-1.8,92.99,-2.79, , , 
20440475,22/03/19 03:56,-1.8,92.66,-2.84, , , 
20440475,22/03/19 04:56,-1.85,94.15,-2.67, , , 
20440475,22/03/19 05:56,-1.8,92.28,-2.9, , , 
20440475,22/03/19 06:56,-1.76,95.75,-2.36, , , 
20440475,22/03/19 07:56,-1.76,96.52,-2.25, , , 
20440475,22/03/19 08:56,-1.72,95.4,-2.36, , , 
20440475,22/03/19 09:56,-1.72,93.4,-2.65, , , 
20440475,22/03/19 10:56,-1.68,96.12,-2.22, , , 
20440475,22/03/19 11:56,-1.63,94.21,-2.45, , , 
20440475,22/03/19 12:56,-1.59,97.33,-1.96, , , 
20440475,22/03/19 13:56,-1.63,98.39,-1.86, , , 
20440475,22/03/19 14:56,-1.63,99.56,-1.7, , , 
20440475,22/03/19 15:56,-1.59,99.98,-1.6, , , 
20440475,22/03/19 16:56,-1.5,99.98,-1.51, , , 
20440475,22/03/19 17:56,-1.46,99.98,-1.47, , , 
20440475,22/03/19 18:56,-1.42,99.98,-1.43, , , 
20440475,22/03/19 19:56,-1.38,99.21,-1.49, , , 
20440475,22/03/19 20:56,-1.42,95.8,-2.01, , , 
20440475,22/03/19 21:56,-1.42,98.07,-1.69, , , 
20440475,22/03/19 22:56,-1.33,99.27,-1.44, , , 
20440475,22/03/19 23:56,-1.38,99.27,-1.48, , , 
20440475,23/03/19 00:56,-1.38,99.98,-1.39, , , 
20440475,23/03/19 01:56,-1.29,99.98,-1.3, , , 
20440475,23/03/19 02:56,-1.2,99.98,-1.21, , , 
20440475,23/03/19 03:56,-1.29,99.98,-1.3, , , 
20440475,23/03/19 04:56,-1.25,99.98,-1.26, , , 
20440475,23/03/19 05:56,-1.29,99.98,-1.3, , , 
20440475,23/03/19 06:56,-1.25,99.98,-1.26, , , 
20440475,23/03/19 07:56,-1.29,99.98,-1.3, , , 
20440475,23/03/19 08:56,-1.25,99.98,-1.26, , , 
20440475,23/03/19 09:56,-1.2,99.98,-1.21, , , 
20440475,23/03/19 10:56,-1.16,99.98,-1.17, , , 
20440475,23/03/19 11:56,-1.16,99.98,-1.17, , , 
20440475,23/03/19 12:56,-1.2,99.98,-1.21, , , 
20440475,23/03/19 13:56,-1.16,99.98,-1.17, , , 
20440475,23/03/19 14:56,-1.16,99.98,-1.17, , , 
20440475,23/03/19 15:56,-1.08,99.98,-1.08, , , 
20440475,23/03/19 16:56,-1.08,99.98,-1.08, , , 
20440475,23/03/19 17:56,-1.08,99.98,-1.08, , , 
20440475,23/03/19 18:56,-1.03,99.98,-1.04, , , 
20440475,23/03/19 19:56,-0.99,99.98,-1, , , 
20440475,23/03/19 20:56,-0.99,99.98,-1, , , 
20440475,23/03/19 21:56,-0.99,99.98,-1, , , 
20440475,23/03/19 22:56,-0.95,99.98,-0.96, , , 
20440475,23/03/19 23:56,-0.9,99.98,-0.91, , , 
20440475,24/03/19 00:56,-0.95,99.98,-0.96, , , 
20440475,24/03/19 01:56,-0.9,99.98,-0.91, , , 
20440475,24/03/19 02:56,-0.86,99.98,-0.87, , , 
20440475,24/03/19 03:56,-0.86,99.98,-0.87, , , 
20440475,24/03/19 04:56,-0.86,99.98,-0.87, , , 
20440475,24/03/19 05:56,-0.9,99.98,-0.91, , , 
20440475,24/03/19 06:56,-0.9,99.98,-0.91, , , 
20440475,24/03/19 07:56,-0.9,99.98,-0.91, , , 
20440475,24/03/19 08:56,-0.9,99.98,-0.91, , , 
20440475,24/03/19 09:56,-0.9,99.98,-0.91, , , 
20440475,24/03/19 10:56,-0.9,99.98,-0.91, , , 
20440475,24/03/19 11:56,-0.86,99.98,-0.87, , , 
20440475,24/03/19 12:56,-0.82,99.98,-0.83, , , 
20440475,24/03/19 13:56,-0.86,99.98,-0.87, , , 
20440475,24/03/19 14:56,-0.77,99.98,-0.78, , , 
20440475,24/03/19 15:56,-0.82,99.98,-0.83, , , 
20440475,24/03/19 16:56,-0.82,99.98,-0.83, , , 
20440475,24/03/19 17:56,-0.82,99.98,-0.83, , , 
20440475,24/03/19 18:56,-0.77,99.98,-0.78, , , 
20440475,24/03/19 19:56,-0.73,99.98,-0.74, , , 
20440475,24/03/19 20:56,-0.77,99.98,-0.78, , , 
20440475,24/03/19 21:56,-0.73,99.98,-0.74, , , 
20440475,24/03/19 22:56,-0.73,99.98,-0.74, , , 
20440475,24/03/19 23:56,-0.77,99.98,-0.78, , , 
20440475,25/03/19 00:56,-0.69,99.98,-0.7, , , 
20440475,25/03/19 01:56,-0.77,99.98,-0.78, , , 
20440475,25/03/19 02:56,-0.73,99.98,-0.74, , , 
20440475,25/03/19 03:56,-0.73,99.98,-0.74, , , 
20440475,25/03/19 04:56,-0.73,99.98,-0.74, , , 
20440475,25/03/19 05:56,-0.73,99.98,-0.74, , , 
20440475,25/03/19 06:56,-0.77,99.98,-0.78, , , 
20440475,25/03/19 07:56,-0.77,99.98,-0.78, , , 
20440475,25/03/19 08:56,-0.73,99.98,-0.74, , , 
20440475,25/03/19 09:56,-0.73,99.98,-0.74, , , 
20440475,25/03/19 10:56,-0.73,99.98,-0.74, , , 
20440475,25/03/19 11:56,-0.69,99.98,-0.7, , , 
20440475,25/03/19 12:56,-0.73,99.98,-0.74, , , 
20440475,25/03/19 13:56,-0.73,99.98,-0.74, , , 
20440475,25/03/19 14:56,-0.73,99.98,-0.74, , , 
20440475,25/03/19 15:56,-0.73,99.98,-0.74, , , 
20440475,25/03/19 16:56,-0.73,99.98,-0.74, , , 
20440475,25/03/19 17:56,-0.69,99.98,-0.7, , , 
20440475,25/03/19 18:56,-0.65,99.98,-0.65, , , 
20440475,25/03/19 19:56,-0.73,99.98,-0.74, , , 
20440475,25/03/19 20:56,-0.82,99.98,-0.83, , , 
20440475,25/03/19 21:56,-0.95,99.98,-0.96, , , 
20440475,25/03/19 22:56,-0.99,99.98,-1, , , 
20440475,25/03/19 23:56,-1.03,99.98,-1.04, , , 
20440475,26/03/19 00:56,-1.12,99.98,-1.13, , , 
20440475,26/03/19 01:56,-1.29,99.98,-1.3, , , 
20440475,26/03/19 02:56,-1.29,99.98,-1.3, , , 
20440475,26/03/19 03:56,-1.2,99.98,-1.21, , , 
20440475,26/03/19 04:56,-1.38,99.98,-1.39, , , 
20440475,26/03/19 05:56,-1.33,99.98,-1.34, , , 
20440475,26/03/19 06:56,-1.33,99.98,-1.34, , , 
20440475,26/03/19 07:56,-1.46,99.98,-1.47, , , 
20440475,26/03/19 08:56,-1.42,99.98,-1.43, , , 
20440475,26/03/19 09:56,-1.5,99.98,-1.51, , , 
20440475,26/03/19 10:56,-1.5,99.98,-1.51, , , 
20440475,26/03/19 11:56,-1.46,98.87,-1.62, , , 
20440475,26/03/19 12:56,-1.42,99.98,-1.43, , , 
20440475,26/03/19 13:56,-1.42,99.98,-1.43, , , 
20440475,26/03/19 14:56,-1.38,99.64,-1.43, , , 
20440475,26/03/19 15:56,-1.29,99.29,-1.39, , , 
20440475,26/03/19 16:56,-1.29,98.92,-1.44, , , 
20440475,26/03/19 17:56,-1.29,98.5,-1.5, , , 
20440475,26/03/19 18:56,-1.38,98.1,-1.64, , , 
20440475,26/03/19 19:56,-1.38,98.84,-1.54, , , 
20440475,26/03/19 20:56,-1.42,99.27,-1.53, , , 
20440475,26/03/19 21:56,-1.5,98.82,-1.67, , , 
20440475,26/03/19 22:56,-1.46,98.82,-1.63, , , 
20440475,26/03/19 23:56,-1.59,98.07,-1.86, , , 
20440475,27/03/19 00:56,-1.68,97.67,-2, , , 
20440475,27/03/19 01:56,-1.76,97.99,-2.04, , , 
20440475,27/03/19 02:56,-1.8,97.27,-2.19, , , 
20440475,27/03/19 03:56,-1.8,97.27,-2.19, , , 
20440475,27/03/19 04:56,-1.76,97.99,-2.04, , , 
20440475,27/03/19 05:56,-1.76,97.99,-2.04, , , 
20440475,27/03/19 06:56,-1.72,98.37,-1.95, , , 
20440475,27/03/19 07:56,-1.8,98.02,-2.08, , , 
20440475,27/03/19 08:56,-1.76,98.39,-1.99, , , 
20440475,27/03/19 09:56,-1.68,99.13,-1.8, , , 
20440475,27/03/19 10:56,-1.72,98.74,-1.9, , , 
20440475,27/03/19 11:56,-1.68,99.51,-1.75, , , 
20440475,27/03/19 12:56,-1.59,99.95,-1.6, , , 
20440475,27/03/19 13:56,-1.5,99.93,-1.52, , , 
20440475,27/03/19 14:56,-1.5,99.61,-1.56, , , 
20440475,27/03/19 15:56,-1.5,99.56,-1.57, , , 
20440475,27/03/19 16:56,-1.5,99.98,-1.51, , , 
20440475,27/03/19 17:56,-1.5,99.93,-1.52, , , 
20440475,27/03/19 18:56,-1.46,99.61,-1.52, , , 
20440475,27/03/19 19:56,-1.55,99.98,-1.56, , , 
20440475,27/03/19 20:56,-1.59,99.95,-1.6, , , 
